economy,sample_size,pct_account,pct_mobile_money,pct_digital,pct_saved,pct_borrowed
Lithuania,1009,97.1258671952428,0.0,0.0,72.64618434093163,27.651139742319124
Madagascar,1000,30.7,22.6,0.0,32.7,44.9
Malawi,1000,47.599999999999994,38.5,0.0,55.300000000000004,54.6
Malaysia,1000,91.5,24.5,0.0,71.1,31.1
Mali,1000,46.5,32.7,0.0,58.199999999999996,48.699999999999996
Malta,1000,97.5,0.0,0.0,74.9,51.2
Mauritania,1000,28.7,12.0,0.0,40.6,57.3
Mauritius,1000,93.5,17.299999999999997,0.0,63.7,37.9
Mexico,1000,43.3,13.900000000000002,0.0,35.3,33.900000000000006
Moldova,1000,61.6,0.0,0.0,52.6,45.800000000000004
Mongolia,1000,98.8,55.00000000000001,0.0,42.4,51.1
Morocco,1000,53.5,7.7,0.0,41.0,60.699999999999996
